machine.authenticate_device (size=8.0): 0.019858344981912524
machine2.authenticate_device (size=8.0): 0.020329471008153632
handshake (size=8.0): 0.056641128001501784
send (size=8.0): 0.004672045004554093
send (size=8.0): 9.927898645401001e-05
machine.authenticate_worker denial (size=8.0): 0.02244200199493207
machine.authenticate_worker denial (size=8.0): 0.018317203997867182
machine.authenticate_device (size=9.0): 0.020284187979996204
machine2.authenticate_device (size=9.0): 0.02033658599248156
handshake (size=9.0): 0.054367909993743524
send (size=9.0): 0.003505996020976454
send (size=9.0): 0.00012731400784105062
machine.authenticate_worker denial (size=9.0): 0.018688611016841605
machine.authenticate_worker denial (size=9.0): 0.019355869007995352
machine.authenticate_device (size=10.0): 0.01915493799606338
machine2.authenticate_device (size=10.0): 0.022127512987935916
handshake (size=10.0): 0.058913965011015534
send (size=10.0): 0.0039019569812808186
send (size=10.0): 0.00011589500354602933
machine.authenticate_worker denial (size=10.0): 0.021220772992819548
machine.authenticate_worker denial (size=10.0): 0.020863153011305258
machine.authenticate_device denial (size=8.0): 0.01916935300687328
machine.authenticate_device denial (size=8.0): 0.0003960439935326576
machine.authenticate_device denial (size=8.0): 0.018739931983873248
machine.authenticate_device denial (size=8.0): 0.0003729090094566345
machine.authenticate_device denial (size=8.0): 0.018165677989600226
machine.authenticate_device denial (size=8.0): 0.0003811210044659674
machine.authenticate_device denial (size=8.0): 0.01946393199614249
machine.authenticate_device denial (size=8.0): 0.0004798230074811727
machine.authenticate_device denial (size=8.0): 0.020046896999701858
machine.authenticate_device denial (size=8.0): 0.00038173500797711313
machine.authenticate_device denial (size=8.0): 0.02241465399856679
machine.authenticate_device denial (size=8.0): 0.00040645498665980995
machine.authenticate_device denial (size=8.0): 0.01860031601972878
machine.authenticate_device denial (size=8.0): 0.00039071301580406725
machine.authenticate_device denial (size=8.0): 0.02356251800665632
machine.authenticate_device denial (size=8.0): 0.0007092879968695343
machine.authenticate_device denial (size=8.0): 0.02677622000919655
machine.authenticate_device denial (size=8.0): 0.0006191649881657213
machine.authenticate_device denial (size=8.0): 0.020557603013003245
machine.authenticate_device denial (size=8.0): 0.00041328099905513227
machine.authenticate_device denial (size=8.0): 0.020152524986770004
machine.authenticate_device denial (size=8.0): 0.00045227198279462755
machine.authenticate_device denial (size=8.0): 0.019390519009903073
machine.authenticate_device denial (size=8.0): 0.00043425700278021395
machine.authenticate_device denial (size=8.0): 0.020355646003736183
machine.authenticate_device denial (size=8.0): 0.0005242200277280062
machine.authenticate_device denial (size=8.0): 0.02019853499950841
machine.authenticate_device denial (size=8.0): 0.0003725079877767712
machine.authenticate_device denial (size=8.0): 0.019791485014138743
machine.authenticate_device denial (size=8.0): 0.0003871799854096025
machine.authenticate_device denial (size=8.0): 0.020873950998065993
machine.authenticate_device denial (size=8.0): 0.0011441250098869205
machine.authenticate_device denial (size=8.0): 0.01975414901971817
machine.authenticate_device denial (size=8.0): 0.00040290202014148235
machine.authenticate_device denial (size=8.0): 0.019826848001684994
machine.authenticate_device denial (size=8.0): 0.00035105098504573107
machine.authenticate_device denial (size=8.0): 0.018657002015970647
machine.authenticate_device denial (size=8.0): 0.0003686150012072176
machine.authenticate_device denial (size=8.0): 0.018535714014433324
machine.authenticate_device denial (size=8.0): 0.0005378609930630773
machine.authenticate_device denial (size=8.0): 0.019958643009886146
machine.authenticate_device denial (size=8.0): 0.00048157499986700714
machine.authenticate_device denial (size=8.0): 0.018752236996078864
machine.authenticate_device denial (size=8.0): 0.0003875599941238761
machine.authenticate_device denial (size=8.0): 0.019360384001629427
machine.authenticate_device denial (size=8.0): 0.00037691197940148413
machine.authenticate_device denial (size=8.0): 0.01936380797997117
machine.authenticate_device denial (size=8.0): 0.00038420798955485225
machine.authenticate_device denial (size=8.0): 0.018941388989333063
machine.authenticate_device denial (size=8.0): 0.00046715399366803467
machine.authenticate_device denial (size=8.0): 0.01876195499789901
machine.authenticate_device denial (size=8.0): 0.00038917100755497813
machine.authenticate_device denial (size=8.0): 0.018623624986503273
machine.authenticate_device denial (size=8.0): 0.0005012520123273134
machine.authenticate_device denial (size=8.0): 0.019156461028615013
machine.authenticate_device denial (size=8.0): 0.000380824989406392
machine.authenticate_device denial (size=8.0): 0.018272544024512172
machine.authenticate_device denial (size=8.0): 0.0003836069954559207
machine.authenticate_device denial (size=8.0): 0.02115806398796849
machine.authenticate_device denial (size=8.0): 0.0006275019841268659
machine.authenticate_device denial (size=8.0): 0.021200908988248557
machine.authenticate_device denial (size=8.0): 0.0006979690224397928
machine.authenticate_device denial (size=8.0): 0.02818687798571773
machine.authenticate_device denial (size=8.0): 0.0006530329992529005
machine.authenticate_device denial (size=8.0): 0.022207253001397476
machine.authenticate_device denial (size=8.0): 0.0005311050044838339
machine.authenticate_device denial (size=8.0): 0.024014658003579825
machine.authenticate_device denial (size=8.0): 0.000472667976282537
machine.authenticate_device denial (size=8.0): 0.019789507990935817
machine.authenticate_device denial (size=8.0): 0.0003776719968300313
machine.authenticate_device denial (size=8.0): 0.02117374600493349
machine.authenticate_device denial (size=8.0): 0.0003888909996021539
machine.authenticate_device denial (size=8.0): 0.01937153298058547
machine.authenticate_device denial (size=8.0): 0.00039771798765286803
machine.authenticate_device denial (size=8.0): 0.019718085997737944
machine.authenticate_device denial (size=8.0): 0.0005350779974833131
machine.authenticate_device denial (size=8.0): 0.019801241985987872
machine.authenticate_device denial (size=8.0): 0.00042138699791394174
machine.authenticate_device denial (size=8.0): 0.019394181988900527
machine.authenticate_device denial (size=8.0): 0.0004015209851786494
machine.authenticate_device denial (size=8.0): 0.019599396007834002
machine.authenticate_device denial (size=8.0): 0.0004359590238891542
machine.authenticate_device denial (size=8.0): 0.021681051002815366
machine.authenticate_device denial (size=8.0): 0.0005109180056024343
machine.authenticate_device denial (size=8.0): 0.02103579099639319
machine.authenticate_device denial (size=8.0): 0.0006333269993774593
machine.authenticate_device denial (size=8.0): 0.019500697002513334
machine.authenticate_device denial (size=8.0): 0.0004604390123859048
machine.authenticate_device denial (size=8.0): 0.02040525499614887
machine.authenticate_device denial (size=8.0): 0.0003776820085477084
machine.authenticate_device denial (size=8.0): 0.02098340299562551
machine.authenticate_device denial (size=8.0): 0.0005683650088030845
machine.authenticate_device denial (size=8.0): 0.01919734399416484
machine.authenticate_device denial (size=8.0): 0.00041006901301443577
machine.authenticate_device denial (size=8.0): 0.01891722998698242
machine.authenticate_device denial (size=8.0): 0.0003581560158636421
machine.authenticate_device denial (size=8.0): 0.01912881000316702
machine.authenticate_device denial (size=8.0): 0.00039960999856702983
machine.authenticate_device denial (size=8.0): 0.019307942013256252
machine.authenticate_device denial (size=8.0): 0.00048549898201599717
machine.authenticate_device denial (size=8.0): 0.019616128993220627
machine.authenticate_device denial (size=8.0): 0.0003759909886866808
machine.authenticate_device denial (size=8.0): 0.018815746996551752
machine.authenticate_device denial (size=8.0): 0.0003825299791060388
machine.authenticate_device denial (size=8.0): 0.020683665003161877
machine.authenticate_device denial (size=8.0): 0.0007854459981899709
machine.authenticate_device denial (size=8.0): 0.022962121991440654
machine.authenticate_device denial (size=8.0): 0.00043090200051665306
machine.authenticate_device denial (size=8.0): 0.02000711500295438
machine.authenticate_device denial (size=8.0): 0.0003678170032799244
machine.authenticate_device denial (size=8.0): 0.02029623300768435
machine.authenticate_device denial (size=8.0): 0.00038882202352397144
machine.authenticate_device denial (size=8.0): 0.01839732500957325
machine.authenticate_device denial (size=8.0): 0.0004093069874215871
machine.authenticate_device denial (size=8.0): 0.019147021987009794
machine.authenticate_device denial (size=8.0): 0.0005479890096466988
machine.authenticate_device denial (size=8.0): 0.022279992001131177
machine.authenticate_device denial (size=8.0): 0.0004054360033478588
machine.authenticate_device denial (size=8.0): 0.01873439399059862
machine.authenticate_device denial (size=8.0): 0.00041139699169434607
machine.authenticate_device denial (size=8.0): 0.018846330989617854
machine.authenticate_device denial (size=8.0): 0.0004548779979813844
machine.authenticate_device denial (size=8.0): 0.018467751011485234
machine.authenticate_device denial (size=8.0): 0.0006327189912553877
machine.authenticate_device denial (size=8.0): 0.019839446002151817
machine.authenticate_device denial (size=8.0): 0.00048210399108938873
machine.authenticate_device denial (size=8.0): 0.019325209024827927
machine.authenticate_device denial (size=8.0): 0.00044766601058654487
machine.authenticate_device denial (size=8.0): 0.018738735001534224
machine.authenticate_device denial (size=8.0): 0.0004038460028823465
machine.authenticate_device denial (size=8.0): 0.01922710399958305
machine.authenticate_device denial (size=8.0): 0.0004259209963493049
machine.authenticate_device denial (size=8.0): 0.020376332016894594
machine.authenticate_device denial (size=8.0): 0.0005656240100506693
machine.authenticate_device denial (size=8.0): 0.018824586004484445
machine.authenticate_device denial (size=8.0): 0.0003808199835475534
machine.authenticate_device denial (size=8.0): 0.019346970017068088
machine.authenticate_device denial (size=8.0): 0.00040188501589000225
machine.authenticate_device denial (size=8.0): 0.0180787599820178
machine.authenticate_device denial (size=8.0): 0.00038008898263797164
machine.authenticate_device denial (size=8.0): 0.01841676898766309
machine.authenticate_device denial (size=8.0): 0.00037938999594189227
machine.authenticate_device denial (size=8.0): 0.019188390986528248
machine.authenticate_device denial (size=8.0): 0.0006203959928825498
machine.authenticate_device denial (size=8.0): 0.01969196999561973
machine.authenticate_device denial (size=8.0): 0.00036789700970984995
machine.authenticate_device denial (size=8.0): 0.019329133996507153
machine.authenticate_device denial (size=8.0): 0.00038073002360761166
machine.authenticate_device denial (size=8.0): 0.018933551997179165
machine.authenticate_device denial (size=8.0): 0.0004269510100129992
machine.authenticate_device denial (size=8.0): 0.01854009900125675
machine.authenticate_device denial (size=8.0): 0.00040802700095809996
machine.authenticate_device denial (size=8.0): 0.018725072004599497
machine.authenticate_device denial (size=8.0): 0.00052707499708049
machine.authenticate_device denial (size=8.0): 0.019839435000903904
machine.authenticate_device denial (size=8.0): 0.0005344660021364689
machine.authenticate_device denial (size=8.0): 0.023106437001843005
machine.authenticate_device denial (size=8.0): 0.0005507000023499131
machine.authenticate_device denial (size=8.0): 0.020513534982455894
machine.authenticate_device denial (size=8.0): 0.0005272849812172353
machine.authenticate_device denial (size=8.0): 0.02342239100835286
machine.authenticate_device denial (size=8.0): 0.0003798500110860914
machine.authenticate_device denial (size=8.0): 0.01895895801135339
machine.authenticate_device denial (size=8.0): 0.0004036949831061065
machine.authenticate_device denial (size=8.0): 0.01940629299497232
machine.authenticate_device denial (size=8.0): 0.0003906319907400757
machine.authenticate_device denial (size=8.0): 0.019560340006137267
machine.authenticate_device denial (size=8.0): 0.0004862450005020946
machine.authenticate_device denial (size=8.0): 0.01988244501990266
machine.authenticate_device denial (size=8.0): 0.00039647400262765586
machine.authenticate_device denial (size=8.0): 0.019231460988521576
machine.authenticate_device denial (size=8.0): 0.00042217998998239636
machine.authenticate_device denial (size=8.0): 0.01921865899930708
machine.authenticate_device denial (size=8.0): 0.0003594149893615395
machine.authenticate_device denial (size=8.0): 0.021761499985586852
machine.authenticate_device denial (size=8.0): 0.0006026230112183839
machine.authenticate_device denial (size=8.0): 0.022588182997424155
machine.authenticate_device denial (size=8.0): 0.000431941996794194
machine.authenticate_device denial (size=8.0): 0.0197078539931681
machine.authenticate_device denial (size=8.0): 0.00040169499698095024
machine.authenticate_device denial (size=8.0): 0.018366636999417096
machine.authenticate_device denial (size=8.0): 0.0004915659956168383
machine.authenticate_device denial (size=8.0): 0.019120006007142365
